run_id,run_date,started_at,finished_at,status,entities_processed,sources_selected,files_changed,commit_sha,notes
worldmodel-20260620-203446z,2026-06-20,2026-06-20T20:34:46Z,2026-06-20T20:34:46Z,completed,tesla,5,,,"Bootstrap daily run executed by Hermes; retrieval/ranking completed, no source-reading synthesis yet."
worldmodel-20260621t074752z,2026-06-21,2026-06-21T07:47:56Z,2026-06-21T07:47:56Z,completed,"tesla,datacenters,asml,amazon,anthropic,automotive_market,battery_storage,catl,copper,ev_market,electricity_grid,elon_musk,energy,google,humanoid_robots,lithium,meta,microsoft,nvidia,oil,openai,robotaxi_autonomy,solar,spacex,tsmc,xai,ai_agents,ai_inference_economics,amd,aws,agility_robotics,albemarle,amazon_kuiper,apple,apptronik,arm,byd,broadcom,china_taiwan_risk,cloud_market,dario_amodei,digital_ads,charging_infrastructure,figure_ai,graphite,industrial_automation,jensen_huang,lg_energy_solution,logistics_automation,mark_zuckerberg,micron,natural_gas,nickel,nuclear_power,oracle,panasonic_energy,transformers,rare_earths,robot_actuators,rocket_lab,sk_hynix,sqm,sam_altman,samsung_electronics,satellite_internet,space_launch_market,starlink,sundar_pichai,us_china_chip_controls,unitree_robotics,uranium,waymo",579,,,Deterministic daily pipeline completed through report generation/render preparation.
worldmodel-20260621t081610z,2026-06-21,2026-06-21T08:16:12Z,2026-06-21T08:16:12Z,completed,"tesla,datacenters,asml,amazon,anthropic,automotive_market,battery_storage,catl,copper,ev_market,electricity_grid,elon_musk,energy,google,humanoid_robots,lithium,meta,microsoft,nvidia,oil,openai,robotaxi_autonomy,solar,spacex,tsmc,xai,ai_agents,ai_inference_economics,amd,aws,agility_robotics,albemarle,amazon_kuiper,apple,apptronik,arm,byd,broadcom,china_taiwan_risk,cloud_market,dario_amodei,digital_ads,charging_infrastructure,figure_ai,graphite,industrial_automation,jensen_huang,lg_energy_solution,logistics_automation,mark_zuckerberg,micron,natural_gas,nickel,nuclear_power,oracle,panasonic_energy,transformers,rare_earths,robot_actuators,rocket_lab,sk_hynix,sqm,sam_altman,samsung_electronics,satellite_internet,space_launch_market,starlink,sundar_pichai,us_china_chip_controls,unitree_robotics,uranium,waymo",615,,,Deterministic daily pipeline completed through report generation/render preparation.
worldmodel-20260621t090954z,2026-06-21,2026-06-21T09:09:56Z,2026-06-21T09:09:56Z,completed,"tesla,datacenters,asml,amazon,anthropic,automotive_market,battery_storage,catl,copper,ev_market,electricity_grid,elon_musk,energy,google,humanoid_robots,lithium,meta,microsoft,nvidia,oil,openai,robotaxi_autonomy,solar,spacex,tsmc,xai,ai_agents,ai_inference_economics,amd,aws,agility_robotics,albemarle,amazon_kuiper,apple,apptronik,arm,byd,broadcom,china_taiwan_risk,cloud_market,dario_amodei,digital_ads,charging_infrastructure,figure_ai,graphite,industrial_automation,jensen_huang,lg_energy_solution,logistics_automation,mark_zuckerberg,micron,natural_gas,nickel,nuclear_power,oracle,panasonic_energy,transformers,rare_earths,robot_actuators,rocket_lab,sk_hynix,sqm,sam_altman,samsung_electronics,satellite_internet,space_launch_market,starlink,sundar_pichai,us_china_chip_controls,unitree_robotics,uranium,waymo",615,,,"Daily intelligence report generated; LLM synthesis should replace placeholders with thesis, relationship, and mispricing impact."
worldmodel-20260621t092228z,2026-06-21,2026-06-21T09:22:31Z,2026-06-21T09:22:31Z,completed,"tesla,datacenters,asml,amazon,anthropic,automotive_market,battery_storage,catl,copper,ev_market,electricity_grid,elon_musk,energy,google,humanoid_robots,lithium,meta,microsoft,nvidia,oil,openai,robotaxi_autonomy,solar,spacex,tsmc,xai,ai_agents,ai_inference_economics,amd,aws,agility_robotics,albemarle,amazon_kuiper,apple,apptronik,arm,byd,broadcom,china_taiwan_risk,cloud_market,dario_amodei,digital_ads,charging_infrastructure,figure_ai,graphite,industrial_automation,jensen_huang,lg_energy_solution,logistics_automation,mark_zuckerberg,micron,natural_gas,nickel,nuclear_power,oracle,panasonic_energy,transformers,rare_earths,robot_actuators,rocket_lab,sk_hynix,sqm,sam_altman,samsung_electronics,satellite_internet,space_launch_market,starlink,sundar_pichai,us_china_chip_controls,unitree_robotics,uranium,waymo",615,,,"Daily intelligence report generated; LLM synthesis should replace placeholders with thesis, relationship, and mispricing impact."
daily-2026-06-21,2026-06-21,2026-06-21T09:35:29Z,2026-06-21T09:35:29Z,completed,"tesla,datacenters,asml,amazon,anthropic,automotive_market,battery_storage,catl,copper,ev_market,electricity_grid,elon_musk,energy,google,humanoid_robots,lithium,meta,microsoft,nvidia,oil,openai,robotaxi_autonomy,solar,spacex,tsmc,xai,ai_agents,ai_inference_economics,amd,aws,agility_robotics,albemarle,amazon_kuiper,apple,apptronik,arm,byd,broadcom,china_taiwan_risk,cloud_market,dario_amodei,digital_ads,charging_infrastructure,figure_ai,graphite,industrial_automation,jensen_huang,lg_energy_solution,logistics_automation,mark_zuckerberg,micron,natural_gas,nickel,nuclear_power,oracle,panasonic_energy,transformers,rare_earths,robot_actuators,rocket_lab,sk_hynix,sqm,sam_altman,samsung_electronics,satellite_internet,space_launch_market,starlink,sundar_pichai,us_china_chip_controls,unitree_robotics,uranium,waymo",480,,,"Daily intelligence report generated; LLM synthesis should replace placeholders with thesis, relationship, and mispricing impact."
worldmodel-20260621t123155z,2026-06-21,2026-06-21T12:31:58Z,2026-06-21T12:31:58Z,completed,"tesla,datacenters,asml,amazon,anthropic,automotive_market,battery_storage,catl,copper,ev_market,electricity_grid,elon_musk,energy,google,humanoid_robots,lithium,meta,microsoft,nvidia,oil,openai,robotaxi_autonomy,solar,spacex,tsmc,xai,ai_agents,ai_inference_economics,amd,aws,agility_robotics,albemarle,amazon_kuiper,apple,apptronik,arm,byd,broadcom,china_taiwan_risk,cloud_market,dario_amodei,digital_ads,charging_infrastructure,figure_ai,graphite,industrial_automation,jensen_huang,lg_energy_solution,logistics_automation,mark_zuckerberg,micron,natural_gas,nickel,nuclear_power,oracle,panasonic_energy,transformers,rare_earths,robot_actuators,rocket_lab,sk_hynix,sqm,sam_altman,samsung_electronics,satellite_internet,space_launch_market,starlink,sundar_pichai,us_china_chip_controls,unitree_robotics,uranium,waymo",461,,,"Daily intelligence report generated; LLM synthesis should replace placeholders with thesis, relationship, and mispricing impact."
worldmodel-20260621t150348z,2026-06-21,2026-06-21T15:03:50Z,2026-06-21T15:03:50Z,completed,"tesla,datacenters,asml,amazon,anthropic,automotive_market,battery_storage,catl,copper,ev_market,electricity_grid,elon_musk,energy,google,humanoid_robots,lithium,meta,microsoft,nvidia,oil,openai,robotaxi_autonomy,solar,spacex,tsmc,xai,ai_agents,ai_inference_economics,amd,aws,agility_robotics,albemarle,amazon_kuiper,apple,apptronik,arm,byd,broadcom,china_taiwan_risk,cloud_market,dario_amodei,digital_ads,charging_infrastructure,figure_ai,graphite,industrial_automation,jensen_huang,lg_energy_solution,logistics_automation,mark_zuckerberg,micron,natural_gas,nickel,nuclear_power,oracle,panasonic_energy,transformers,rare_earths,robot_actuators,rocket_lab,sk_hynix,sqm,sam_altman,samsung_electronics,satellite_internet,space_launch_market,starlink,sundar_pichai,us_china_chip_controls,unitree_robotics,uranium,waymo",493,,,"Daily intelligence report generated; LLM synthesis should replace placeholders with thesis, relationship, and mispricing impact."
worldmodel-20260622t041136z,2026-06-22,2026-06-22T04:11:38Z,2026-06-22T04:11:38Z,completed,"tesla,datacenters,asml,amazon,anthropic,automotive_market,battery_storage,catl,copper,ev_market,electricity_grid,elon_musk,energy,google,humanoid_robots,lithium,meta,microsoft,nvidia,oil,openai,robotaxi_autonomy,solar,spacex,tsmc,xai,ai_agents,ai_inference_economics,amd,aws,agility_robotics,albemarle,amazon_kuiper,apple,apptronik,arm,byd,broadcom,china_taiwan_risk,cloud_market,dario_amodei,digital_ads,charging_infrastructure,figure_ai,graphite,industrial_automation,jensen_huang,lg_energy_solution,logistics_automation,mark_zuckerberg,micron,natural_gas,nickel,nuclear_power,oracle,panasonic_energy,transformers,rare_earths,robot_actuators,rocket_lab,sk_hynix,sqm,sam_altman,samsung_electronics,satellite_internet,space_launch_market,starlink,sundar_pichai,us_china_chip_controls,unitree_robotics,uranium,waymo",523,,,"Daily intelligence report generated; LLM synthesis should replace placeholders with thesis, relationship, and mispricing impact."
worldmodel-20260623t041252z,2026-06-23,2026-06-23T04:13:05Z,2026-06-23T04:13:05Z,completed,"tesla,datacenters,asml,amazon,anthropic,automotive_market,battery_storage,catl,copper,ev_market,electricity_grid,elon_musk,energy,google,humanoid_robots,lithium,meta,microsoft,nvidia,oil,openai,robotaxi_autonomy,solar,spacex,tsmc,xai,ai_agents,ai_inference_economics,amd,aws,agility_robotics,albemarle,amazon_kuiper,apple,apptronik,arm,byd,broadcom,china_taiwan_risk,cloud_market,dario_amodei,digital_ads,charging_infrastructure,figure_ai,graphite,industrial_automation,jensen_huang,lg_energy_solution,logistics_automation,mark_zuckerberg,micron,natural_gas,nickel,nuclear_power,oracle,panasonic_energy,transformers,rare_earths,robot_actuators,rocket_lab,sk_hynix,sqm,sam_altman,samsung_electronics,satellite_internet,space_launch_market,starlink,sundar_pichai,us_china_chip_controls,unitree_robotics,uranium,waymo",429,,,"Daily intelligence report generated; LLM synthesis should replace placeholders with thesis, relationship, and mispricing impact."
